Recipe,Multiplier
xeno-earth-sample-turd,0.8792576635352264
cottongut-food-01,0.0012746185801208922
cottongut-food-02,8.123266366361046e-06
cottongut-food-03,6.36966072075996e-06
cottongut-cub-4,0.00021664947613212008
grod-seeds-heavy-water,4.763634104751705e-06
moondrop-5,0.014030339262493254
bio-scafold-with-lamp,7.404923825843566e-06
immunosupressants,8.486612292126524e-07
psc-gh,1.1659065401129863e-06
propeptides,6.947749320433384e-05
cbp,0.0077444294700084685
caged-xeno-2-dna-polymerase,0.0006585579227558766
formamide,0.008460126077413851
reca-2,0.0007505940590405528
blanket-chassi,7.545921915956943e-08
superconductor-servomechanims,2.8820093721194158e-05
trits-earth-sample-turd,4.82975105627452e-05
kevlar-coating,1.6737743773924678
nbfe-alloy-2,7.073223170044907e-05
cobalt-sulfate-02,0.008373895543772563
molten-nickel-00,0.0003110023458417603
czts-slab,0.17430137038964189
diamond-wire,4.953136735439463e-06
rotor,0.03710629871360737
stator,0.0005980198229096457
print-shell-immunosupressants,0.005812427214762135
nanocarrier,1.4074913365023457e-05
alien-enzymes,0.021861764919600013
cysteine,0.00012064756980024423
mmp,4.863190665302215e-05
yotoi-4-free-leaves,0.40503563452511177
zogna-bacteria,1.5932997724767868e-05
full-render-arqads-music,0.0008162745860637706
print-pineal-immunosupressants,5.061580434962613e-05
alien-sample01,8.087427171463903e-05
earth-sea-sponge-sample,18.604300880651337
sea-sponge-codex,0.05550947199763079
fungal-substrate-03,0.00041737905927547326
high-grade-tin,0.0005300846580063675
nex-grade-2-crush,0.1193405021134652
dbr,3.426658283866159
micro-cavity-core,0.1498132445431425
cladded-core,0.002681583215247976
prepared-glass,0.005830066769642127
dieletric-mirror,53.36141716394447
crude-top-layer,0.023526907428631602
phenothiazine,0.00010096655486385402
triethoxysilane,0.011240709039135337
perovskite-nickelate,0.0040433008926201485
aeroorgan-ink,0.00019341179326330796
gbl,0.001654427121559227
zinc-finger-proteins,2.6205596227232507e-05
dimethyldichlorosilane,7.790992920024396e-06
capacitor-core,0.0012595355548060407
capacitor-termination,0.0010978711392765055
diode-core,0.04205787092118151
molybdenum-filtration,0.07902981333743064
cold-clean-air,0.0003172825700402649
crude-cermet,0.0020963310182268804
pesticide-mk01,6.079844749680755e-07
pesticide-mk02,1.1170977689475164e-05
cadaveric-processing-02,0.0013432752840641421
stone-wool2,0.00038169687395418647
low-distillate-to-coal-gas,0.0019947289031956384
cadaveric-arum-mk04-juicer,4.117976793347573e-06
sodium-chlorate,0.008749767558015938
carbon-aerogel,18.727486115526094
sb-11-conc,0.20573366364884108
coal-pulp-03,3.432162701840052e-05
intermetallics,0.3448881419868238
auog-paddock-mk03-with-dirt,0.020316445211671624
nems,0.38501953277531037
paper-towel,0.00032890200694460207
minor-extract-gas-from-coalbed-3,0.03731623481884762
medium-distillate-to-stripped-distillate,5.6482665275029685e-05
silicon-wafer-2,0.9855391921210384
pbsb-alloy,15.453624405997752
print-meat-immunosupressants,3.2037906746652682
pelt-processing,0.2779640527401467
full-render-cottongut-music,1124.6452052739617
dt-fusion,5.064168721899054
extract-methane-from-coalbed,47.21965923356986
anthracene-gasoline-hydrogenation,0.001768203961295424
Phadai-Dance-Dance-Revolution-1-piezoelectric,840.3799717947811
pa-zinc,1.9979056152279997
sb-oxide-02a,0.005542312010389194
chromium-02,0.2701658875750059
biosynthetic-nylon,2.3101018610990327e-05
pa-aluminium,0.0019199850566758421
lens,8.22593824911017e-05
nanofibrils,17.785942012388308
